학년,이수구분,교과목번호,분반,교과목명,학점,교강사,강의언어,요일/교시/강의실
3,전공선택,524660,1,SW보안개론,3,조성제,한국어,"월4,5,6/수4,5,6(미디어509)"
3,전공선택,524660,2,SW보안개론,3,조성제,한국어,"월12,13,14/수12,13,14(미디어509)"
2,POSE-AI(English),540640,1,SW아카데믹영작,2,스튜어트존스,(영어),"목3,4,5,6(인문204)"
2,POSE-AI(English),540640,2,SW아카데믹영작,2,스튜어트존스,(영어),"수15,16,17,18(인문403)"
2,POSE-AI(English),540640,3,SW아카데믹영작,2,스튜어트존스,(영어),"월19,20(인문403)"
1,전공기초,323170,1,기술과경영,2,김대성,한국어,"수5,6,7,8(소프트301)"
2,전공선택,329810,1,데이터베이스,3,박소현,한국어,"화4,5,6/목4,5,6(소프트517)"
2,전공선택,329810,2,데이터베이스,3,미정,한국어,"화1,2,3/목1,2,3(2공105)"
2,전공선택,329810,4,데이터베이스,3,박소현,한국어,"화9,10,11/목9,10,11(소프트406)"
2,전공선택,329810,5,데이터베이스,3,박재연,(영어),"화4,5,6/수1,2,3(국제506)"
2,전공선택,329810,6,데이터베이스,3,김종호,한국어,"금1,2,3,4,5,6(소프트301)"
2,전공선택,339170,1,멀티미디어시스템,3,박규식,한국어,"금3,4,5,6,7,8(소프트516)"
2,전공선택,339170,2,멀티미디어시스템,3,박규식,한국어,"금11,12,13,14,15,16(소프트516)"
3,전공선택,524850,1,모바일플랫폼,3,이재동,한국어,"수15,16,17,18,19(소프트306)"
4,전공선택,557990,1,빅데이터마이닝,3,박용범,한국어,"수1,2,3,4,5,6(소프트406)"
4,전공선택,557990,2,빅데이터마이닝,3,황두성,한국어,"월4,5,6/화4,5,6(소프트516)"
4,POSE-AI(AI),524740,1,빅데이터처리,3,전성환,한국어,"화1,2,3/목15,16,17(3공519)"
2,전공기초,359210,1,선형대수,3,김대원,한국어,"월1,2,3,4,5,6(2공524)"
2,전공기초,359210,2,선형대수,3,김대원,한국어,"금1,2,3,4,5,6(2공524)"
2,전공기초,359210,3,선형대수,3,정규혁,(영어),"목19,20,21(소프트310)"
1,전공기초,529480,1,소프트웨어개론,2,서지원,한국어,"월1,2,3,4(사범505)"
1,전공기초,529480,2,소프트웨어개론,2,서지원,한국어,"월9,10,11,12(사범506)"
1,전공기초,529480,3,소프트웨어개론,2,서지원,한국어,"수9,10,11,12(소프트305)"
1,전공기초,529480,4,소프트웨어개론,2,김대성,한국어,"수1,2,3,4(소프트305)"
4,전공선택,557970,1,소프트웨어보안개발방법론,3,미정,한국어,"월19,20,21(소프트307)"
4,전공선택,558000,1,스마트카소프트웨어보안,3,우사무엘,한국어,"월9,10,11/수9,10,11(소프트516)"
4,전공선택,558000,2,스마트카소프트웨어보안,3,미정,한국어,"수1,2,3,4,5,6(소프트332)"
4,전공선택,366770,1,시스템분석및설계,3,박용범,한국어,"월4,5,6/화4,5,6(소프트406)"
4,전공필수,527570,1,실무중심산학협력프로젝트1(캡스톤디자인-SW),3,박소현,한국어,"수17,18,19,20(소프트406)"
4,전공필수,527570,2,실무중심산학협력프로젝트1(캡스톤디자인-SW),3,우사무엘,한국어,"수17,18,19,20(소프트517)"
4,전공필수,527570,3,실무중심산학협력프로젝트1(캡스톤디자인-SW),3,김하연,한국어,"수17,18,19,20(소프트516)"
4,전공필수,527570,4,실무중심산학협력프로젝트1(캡스톤디자인-SW),3,박용범,한국어,"목17,18,19,20(소프트406)"
4,전공필수,527570,5,실무중심산학협력프로젝트1(캡스톤디자인-SW),3,이상범,한국어,"목17,18,19,20(미디어509)"
4,전공필수,527570,6,실무중심산학협력프로젝트1(캡스톤디자인-SW),3,황두성,한국어,"목17,18,19,20(소프트306)"
3,전공선택,372460,1,알고리즘,3,최홍인,한국어,"월1,2,3,4,5,6(소프트307)"
3,전공선택,372460,2,알고리즘,3,최홍인,한국어,"목9,10,11,12,13,14(소프트307)"
3,전공선택,378260,1,영상정보처리,3,박제호,한국어,"금9,10,11,12,13,14(소프트406)"
2,POSE-AI(Open Source),558040,1,오픈소스SW기초,3,서성현,한국어,"수17,18,19,20(미디어415)"
2,POSE-AI(Open Source),558040,2,오픈소스SW기초,3,송인식,한국어,"수9,10,11,12,13,14(소프트332)"
2,POSE-AI(Open Source),558040,3,오픈소스SW기초,3,송인식,한국어,"수1,2,3,4,5,6(소프트516)"
4,전공선택,558020,1,오픈소스SW분석(빅데이터),3,최종무,한국어,"목9,10,11,12,13,14(소프트303)"
4,전공선택,558020,2,오픈소스SW분석(빅데이터),3,최종무,한국어,"수5,6,7,8,9,10(소프트517)"
3,전공필수,382230,1,운영체제,3,최종무,한국어,"화9,10,11,12,13,14(소프트307)"
3,전공필수,382230,2,운영체제,3,김하연,한국어,"월9,10,11/수9,10,11(소프트307)"
3,전공필수,382230,3,운영체제,3,최건희,한국어,"월12,13,14/수12,13,14(소프트406)"
3,POSE-AI(AI),388600,1,인공지능,3,최상일,한국어,"월4,5,6/수4,5,6(2공105)"
3,POSE-AI(AI),388600,2,인공지능,3,최상일,한국어,"월1,2,3/수1,2,3(2공105)"
2,전공필수,549370,1,자료구조,3,황두성,한국어,"화15,16,17,18,19(미디어509)"
2,전공필수,549370,2,자료구조,3,강필성,한국어,"수15,16,17,18,19(소프트310)"
2,전공필수,549370,3,자료구조,3,김종호,한국어,"월1,2,3,4,5,6(소프트332)"
2,전공필수,418520,4,컴퓨터구조,3,강필성,한국어,"화1,2,3/목1,2,3(소프트517)"
2,전공필수,418520,5,컴퓨터구조,3,강필성,한국어,"화12,13,14/목12,13,14(소프트301)"
2,전공필수,418520,6,컴퓨터구조,3,미정,한국어,"화7,8,9/목7,8,9(소프트332)"
3,전공선택,557950,1,컴퓨터네트워크와클라우드컴퓨팅,3,이상범,(영어),"화9,10,11/목9,10,11(미디어509)"
3,전공선택,557950,2,컴퓨터네트워크와클라우드컴퓨팅,3,이상범,(영어),"화12,13,14/목12,13,14(소프트516)"
3,전공선택,557950,3,컴퓨터네트워크와클라우드컴퓨팅,3,미정,한국어,"금1,2,3,4,5,6(소프트310)"
4,전공선택,557980,1,클라우드플랫폼,3,서성현,한국어,"수3,4,5,6,7,8(사범407)"
1,전공필수,426400,2,프로그래밍,3,박제호,한국어,"월1,2,3/화1,2,3(소프트406)"
1,전공필수,426400,3,프로그래밍,3,박제호,한국어,"목1,2,3/금1,2,3(소프트406)"
